t,throttle,steering
1776900364.970769,1.73,0.0
1776900366.4725983,0.0,0.0
1776900367.6746361,-1.73,0.0
1776900369.113256,-1.73,0.0
1776900369.5991898,-1.73,0.0
1776900370.2874749,-1.73,0.0
1776900370.9244459,-1.73,0.0
1776900371.4187324,-1.73,0.0
1776900371.8013933,-1.73,0.0
1776900372.0727901,-1.73,0.0
1776900372.7479994,-1.73,0.0
1776900372.9732234,-1.73,0.0
1776900373.1771436,-1.73,0.0
1776900373.6977074,0.0,0.0
1776900374.1076381,-1.73,0.0
1776900377.194021,0.0,0.0
1776900379.7131844,0.0,0.0
1776900379.9012563,1.73,0.0
1776900381.6792696,0.0,0.0
1776900383.3384805,-1.73,0.0
1776900386.4324877,0.0,0.0
